,year,month,day,max,min,date
0,2010,1,1,40.0,33.0,2010-1-1
1,2010,1,2,34.0,17.0,2010-1-2
2,2010,1,3,22.0,17.0,2010-1-3
3,2010,1,4,30.0,19.0,2010-1-4
4,2010,1,5,30.0,20.0,2010-1-5
5,2010,1,6,34.0,26.0,2010-1-6
6,2010,1,7,37.0,30.0,2010-1-7
7,2010,1,8,33.0,23.0,2010-1-8
8,2010,1,9,30.0,18.0,2010-1-9
9,2010,1,10,28.0,14.0,2010-1-10
10,2010,1,11,31.0,21.0,2010-1-11
11,2010,1,12,35.0,24.0,2010-1-12
12,2010,1,13,35.0,24.0,2010-1-13
13,2010,1,14,42.0,30.0,2010-1-14
14,2010,1,15,50.0,35.0,2010-1-15
15,2010,1,16,49.0,38.0,2010-1-16
16,2010,1,17,46.0,35.0,2010-1-17
17,2010,1,18,50.0,37.0,2010-1-18
18,2010,1,19,48.0,40.0,2010-1-19
19,2010,1,20,41.0,34.0,2010-1-20
20,2010,1,21,41.0,31.0,2010-1-21
21,2010,1,22,44.0,32.0,2010-1-22
22,2010,1,23,40.0,28.0,2010-1-23
23,2010,1,24,50.0,32.0,2010-1-24
24,2010,1,25,57.0,49.0,2010-1-25
25,2010,1,26,49.0,35.0,2010-1-26
26,2010,1,27,39.0,31.0,2010-1-27
27,2010,1,28,42.0,20.0,2010-1-28
28,2010,1,29,23.0,16.0,2010-1-29
29,2010,1,30,20.0,13.0,2010-1-30
30,2010,1,31,30.0,14.0,2010-1-31
31,2010,2,1,35.0,25.0,2010-2-1
32,2010,2,2,33.0,27.0,2010-2-2
33,2010,2,3,39.0,29.0,2010-2-3
34,2010,2,4,37.0,28.0,2010-2-4
35,2010,2,5,36.0,29.0,2010-2-5
36,2010,2,6,33.0,20.0,2010-2-6
37,2010,2,7,34.0,17.0,2010-2-7
38,2010,2,8,37.0,23.0,2010-2-8
39,2010,2,9,42.0,28.0,2010-2-9
40,2010,2,10,34.0,30.0,2010-2-10
41,2010,2,11,37.0,28.0,2010-2-11
42,2010,2,12,37.0,26.0,2010-2-12
43,2010,2,13,32.0,24.0,2010-2-13
44,2010,2,14,39.0,28.0,2010-2-14
45,2010,2,15,40.0,27.0,2010-2-15
46,2010,2,16,33.0,29.0,2010-2-16
47,2010,2,17,35.0,26.0,2010-2-17
48,2010,2,18,40.0,32.0,2010-2-18
49,2010,2,19,43.0,35.0,2010-2-19
50,2010,2,20,44.0,35.0,2010-2-20
51,2010,2,21,46.0,33.0,2010-2-21
52,2010,2,22,45.0,29.0,2010-2-22
53,2010,2,23,38.0,35.0,2010-2-23
54,2010,2,24,42.0,36.0,2010-2-24
55,2010,2,25,38.0,27.0,2010-2-25
56,2010,2,26,33.0,26.0,2010-2-26
57,2010,2,27,38.0,29.0,2010-2-27
58,2010,2,28,40.0,33.0,2010-2-28
59,2010,3,1,48.0,36.0,2010-3-1
60,2010,3,2,47.0,36.0,2010-3-2
61,2010,3,3,41.0,34.0,2010-3-3
62,2010,3,4,47.0,35.0,2010-3-4
63,2010,3,5,49.0,34.0,2010-3-5
64,2010,3,6,54.0,32.0,2010-3-6
65,2010,3,7,57.0,37.0,2010-3-7
