,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,unnamed_0,unnamed_0.1,unique_key,created_date,closed_date,location_type,incident_zip,incident_address,street_name,address_type,city,landmark,status,due_date,resolution_action_updated_date,community_board,borough,x_coordinate_(state_plane),y_coordinate_(state_plane),park_borough,latitude,longitude,days_open
0,0,0,0,0,18,47737582,2020-09-30T23:21:23,,1-2 Family Dwelling,10301.0,71 CORSON AVENUE,CORSON AVENUE,,STATEN ISLAND,CORSON AVENUE,In Progress,,,01 STATEN ISLAND,STATEN ISLAND,961704.0,171706.0,STATEN ISLAND,40.63794120539913,-74.08123545956401,
1,1,1,1,1,26,47740764,2020-09-30T23:16:02,,3+ Family Apt. Building,11209.0,7713 SHORE ROAD,SHORE ROAD,,BROOKLYN,SHORE ROAD,In Progress,,,10 BROOKLYN,BROOKLYN,973663.0,169532.0,BROOKLYN,40.63199640565456,-74.03814260191585,
2,2,2,2,2,35,47743033,2020-09-30T10:57:41,,1-2 Family Dwelling,10301.0,CORSON AVENUE,CORSON AVENUE,,,,In Progress,,,01 STATEN ISLAND,STATEN ISLAND,961871.0,171736.0,STATEN ISLAND,40.63802397247625,-74.08063384195016,
3,3,3,3,3,36,47734508,2020-09-30T13:02:21,,1-2 Family Dwelling,10314.0,92 GARY COURT,GARY COURT,,STATEN ISLAND,GARY COURT,In Progress,,,02 STATEN ISLAND,STATEN ISLAND,939720.0,160811.0,STATEN ISLAND,40.60795351682117,-74.16037397458656,
4,4,4,4,4,59,47729167,2020-09-29T15:55:22,,1-2 Family Dwelling,11228.0,7620 15 AVENUE,15 AVENUE,,BROOKLYN,15 AVENUE,In Progress,,,11 BROOKLYN,BROOKLYN,983186.0,164023.0,BROOKLYN,40.616881617256425,-74.00383248678905,
5,5,5,5,5,94,47725211,2020-09-29T14:40:31,,1-2 Family Dwelling,10312.0,232 TALLMAN STREET,TALLMAN STREET,,STATEN ISLAND,TALLMAN STREET,In Progress,,,03 STATEN ISLAND,STATEN ISLAND,935778.0,133606.0,STATEN ISLAND,40.53326056618915,-74.17437593810887,
6,6,6,6,6,159,47717380,2020-09-28T14:46:29,,1-2 Family Dwelling,11214.0,1622 82 STREET,82 STREET,,BROOKLYN,82 STREET,In Progress,,,11 BROOKLYN,BROOKLYN,983085.0,162206.0,BROOKLYN,40.611894314911815,-74.00419597137761,
7,7,7,7,7,160,47716436,2020-09-29T11:17:41,,1-2 Family Dwelling,11214.0,7701 16 AVENUE,16 AVENUE,,BROOKLYN,16 AVENUE,In Progress,,,11 BROOKLYN,BROOKLYN,983664.0,163361.0,BROOKLYN,40.61506460881541,-74.00211069184844,
8,8,8,8,8,181,47712663,2020-09-27T18:19:51,,3+ Family Apt. Building,10011.0,244 WEST   16 STREET,WEST   16 STREET,,NEW YORK,WEST   16 STREET,In Progress,,,04 MANHATTAN,MANHATTAN,984240.0,209035.0,MANHATTAN,40.74042940902521,-74.00003608640411,
9,9,9,9,9,190,47709975,2020-09-27T20:50:47,,3+ Family Apt. Building,10001.0,264 10 AVENUE,10 AVENUE,,NEW YORK,10 AVENUE,In Progress,,,04 MANHATTAN,MANHATTAN,983381.0,212192.0,MANHATTAN,40.7490945412246,-74.00313631640995,
